Id Empresa,Nombre Empresa,Pais,Fundacion,Industria,Empleados,Ingresos Anuales(USD MM),Gastos Anuales(USD MM)
186-23-6587,Rhynyx,Colombia,2013,Tecnologia,79,$9752.67,$3195.84
793-94-7696,Youbridge,Argentina,2009,Finanzas,230,$19199.56,$1142.61
656-49-6450,Wikibox,Colombia,2015,Transporte,106,$12701.55,$3578.85
,Buzzster,,2004,Tecnologia,77,$18614.61,$1793.17
339-78-4134,Photobean,Colombia,2002,Energia,87,$9355.86,$1511.55
192-66-7131,Yombu,Argentina,2014,Comercio,100,$7689.09,$1140.13
383-67-2100,,Argentina,2013,,135,$7527.98,$3095.74
662-72-9676,Brainsphere,Colombia,2007,Entretenimiento,249,$12883.49,$3171.62
152-51-7120,Fatz,Argentina,2002,Tecnologia,282,$15337.40,$2186.29
795-70-5557,Pixoboo,Bolivia,2012,Otros,23,$11127.52,$2568.08
762-32-7106,Roomm,Colombia,2004,Comercio,67,$15000.28,$2552.91
744-64-1863,Aivee,Bolivia,2012,Medicina,283,$13837.43,$2765.00
861-50-7674,Thoughtstorm,Argentina,2006,Tecnologia,178,$18857.24,$3169.80
777-49-0241,Topicware,Argentina,2012,Finanzas,84,$7780.74,$1420.43
394-92-7580,Photofeed,Colombia,2005,Construccion,259,$15126.98,$2449.17
720-28-8532,Aibox,Chile,2015,Energia,166,$11982.36,$3424.53
851-48-6792,Kare,Colombia,2006,Energia,16,$14778.47,$1702.46
456-44-4872,Topicblab,Colombia,2015,Finanzas,156,$11198.07,$2846.84
307-85-0508,Browsedrive,Chile,2012,Energia,90,$14178.58,$2805.94
664-77-8933,Feedspan,Argentina,2006,Comunicaciones,73,$11448.42,$3418.68
196-16-0750,Meevee,Bolivia,2009,Transporte,139,$8541.19,$3461.67
255-75-3637,Buzzshare,Bolivia,2011,Construccion,93,$12262.89,$1532.17
460-29-0689,Layo,Colombia,2004,Finanzas,58,$12877.11,$3224.47
113-44-3340,Edgewire,Colombia,2005,Medicina,134,$16637.18,$2537.55
808-60-2615,Devbug,Argentina,2001,Energia,169,$16480.15,$2302.42
286-53-7169,Feedbug,Colombia,2001,Comunicaciones,197,$10030.20,$2318.88
791-51-4342,Teklist,Argentina,2009,Entretenimiento,161,$19034.43,$3221.43
538-37-7685,Brainsphere,Argentina,2001,Medicina,290,$10362.08,$1292.07
565-49-9723,Demimbu,Uruguay,2003,,205,$17973.08,$1777.49
362-71-2111,Brainsphere,Bolivia,2009,Construccion,86,$15538.57,$2000.77
852-52-9770,Mymm,Colombia,2012,Finanzas,201,$5822.81,$3349.74
804-85-1755,Fadeo,Argentina,2011,Tecnologia,57,$17060.65,$2274.04
566-20-5402,Izio,Uruguay,2006,Transporte,94,$14261.20,$1297.63
751-89-0928,Thoughtstorm,Colombia,2015,Energia,83,$13486.31,$2213.22
269-24-9932,Centimia,Argentina,2005,Entretenimiento,97,$18400.30,$1247.18
265-13-3892,Jayo,Argentina,2013,Energia,61,$8099.49,$3895.01
460-23-3351,Gabspot,Colombia,2010,Comercio,232,$16756.14,$3311.16
662-65-9232,Youspan,Bolivia,2001,Transporte,114,$6098.64,$1878.62
201-26-1929,Rhynyx,Argentina,2010,Entretenimiento,41,$18943.52,$2039.48
595-46-5190,Dablist,Colombia,2011,Entretenimiento,257,$16903.25,$3286.25
,Jaxbean,,2012,Energia,138,$13535.08,$1771.42
,Jazzy,,2001,Otros,262,$15155.73,$3077.70
823-10-1047,Twitterworks,Colombia,2004,Tecnologia,42,$16724.02,$1604.28
,Yodoo,,2001,Medicina,147,$7568.67,$3154.97
724-11-2795,Fliptune,Argentina,2005,Entretenimiento,250,$13820.42,$1732.82
468-20-5225,Skalith,Argentina,2015,Finanzas,96,$17621.17,$2936.98
495-39-8546,Tagpad,Argentina,2015,Finanzas,60,$16211.58,$2851.51
460-72-9383,Avamm,Colombia,2013,Tecnologia,274,$8587.16,$1878.23
445-92-8676,Quimm,Argentina,2003,Energia,104,$5992.58,$1110.10
177-10-6688,Ntags,Colombia,2002,Construccion,254,$15205.46,$2170.38
888-85-5003,Topiclounge,Uruguay,2008,Finanzas,242,$5370.03,$3896.74
872-24-8382,Topiczoom,Colombia,2014,Energia,114,$16624.74,$1450.47
863-87-2918,Izio,Argentina,2015,Medicina,112,$18973.58,$3895.05
425-73-6646,Lazzy,Colombia,2012,Medicina,20,$5885.02,$3500.20
136-50-1449,Yombu,Colombia,2008,Otros,49,$8363.68,$1484.22
328-48-1861,Gigazoom,Colombia,2015,Otros,283,$14626.16,$1608.08
413-86-6294,Meembee,Argentina,2010,Comercio,33,$18703.45,$2501.34
227-28-9856,Dablist,Argentina,2014,Tecnologia,143,$18584.34,$2489.99
697-52-7741,Demimbu,Colombia,2003,Entretenimiento,52,$10281.81,$3198.61
259-13-2097,Quinu,Colombia,2002,Medicina,207,$19564.06,$1410.35
493-77-2337,Aivee,Bolivia,2005,Entretenimiento,111,$10098.30,$1764.09
594-95-0712,Bluezoom,Argentina,2014,Construccion,72,$9899.09,$3912.46
610-48-5862,Mynte,Argentina,2001,Medicina,151,$16912.06,$3222.17
449-94-4326,Mynte,Colombia,2006,Otros,267,$14257.82,$2753.84
768-28-0860,Feednation,Argentina,2012,Energia,79,$18202.99,$2073.11
387-45-1249,Yodel,Argentina,2004,Tecnologia,36,$19784.32,$3548.37
471-40-8294,Feedfire,Argentina,2010,Comunicaciones,185,$12755.95,$3936.66
414-61-0705,Gigaclub,Argentina,2004,Comunicaciones,22,$5869.35,$1999.42
579-07-7892,Skyvu,Colombia,2006,Energia,250,$13978.51,$2994.52
553-86-7647,Omba,Colombia,2011,Comercio,41,$17225.50,$3424.17
305-89-9421,Livepath,Argentina,2007,Entretenimiento,84,$19076.54,$1628.67
473-24-8219,Ntag,Bolivia,2009,Energia,259,$18931.84,$1644.45
510-55-8587,Zoonder,Bolivia,2002,Otros,135,$5170.09,$2444.84
343-13-7471,Divavu,Argentina,2003,Finanzas,192,$14435.71,$2405.58
179-57-8172,Gabtype,Colombia,2015,Otros,60,$13264.23,$1412.80
884-31-4335,Layo,Bolivia,2013,Comercio,181,$7483.14,$2879.60
743-27-5486,Skimia,Argentina,2002,Transporte,57,$7230.40,$2080.21
789-72-6812,Twitterlist,Argentina,2010,Comercio,298,$12785.19,$3263.65
766-52-6864,Eire,Colombia,2015,Otros,38,$12185.02,$2745.25
443-88-5838,Dynazzy,Bolivia,2004,Finanzas,114,$6580.98,$3264.99
115-77-7904,Devshare,Colombia,2005,Comunicaciones,269,$17918.23,$2602.14
861-56-4341,Browsebug,Colombia,2006,Otros,114,$8227.49,$2270.52
636-19-8723,Reallinks,Argentina,2014,Finanzas,132,$12307.55,$2230.47
751-55-9257,,Colombia,2009,Comercio,15,$19217.57,$1180.84
427-88-4037,Jazzy,Argentina,2003,Comunicaciones,100,$12891.86,$1385.86
863-80-9489,Jamia,Colombia,2013,Comunicaciones,166,$15226.65,$3109.92
223-04-0728,Snaptags,Colombia,2010,Tecnologia,113,$8872.14,$1226.96
202-21-0255,Thoughtbridge,Argentina,2013,Otros,193,$13200.40,$2054.56
746-34-5496,Flipstorm,Argentina,2007,Entretenimiento,297,$7458.06,$1536.93
789-41-1155,Shuffledrive,Argentina,2002,Construccion,270,$11923.83,$3612.23
655-18-0415,Omba,Colombia,2002,Entretenimiento,159,$9149.90,$2156.07
465-06-0220,Bubblemix,Colombia,2011,Tecnologia,164,$16944.14,$1580.24
815-69-1818,Quinu,Colombia,2003,,70,$13906.58,$2135.57
362-93-7411,Teklist,Colombia,2008,Energia,31,$12384.67,$2451.14
870-83-8177,Yabox,Colombia,2015,Comercio,72,$16660.41,$1012.68
883-91-7826,Zoomlounge,Chile,2006,Entretenimiento,195,$9983.22,$2556.09
664-08-9925,Jabbersphere,Colombia,2004,Otros,296,$12727.05,$1553.27
842-46-5633,Centidel,Argentina,2001,Tecnologia,261,$13514.43,$3287.99
532-40-5635,Topicstorm,Argentina,2013,Transporte,110,$16222.26,$3145.13
300-76-8678,Linklinks,Argentina,2009,Entretenimiento,203,$9750.65,$3859.07
468-55-2931,Wikivu,Colombia,2005,Transporte,26,$15366.55,$3376.46
602-20-8071,Babbleopia,Argentina,2001,Transporte,126,$8940.54,$1728.27
865-87-5245,Topicblab,Colombia,2015,Comercio,38,$8165.68,$2510.12
766-98-9665,Feedspan,Argentina,2013,Medicina,300,$6418.96,$2277.04
660-13-3879,Abatz,Uruguay,2010,Entretenimiento,233,$6517.91,$3892.07
846-72-8356,Omba,Argentina,2009,Medicina,232,$18887.71,$2680.03
892-50-9670,Pixope,Colombia,2010,Transporte,189,$17650.25,$3017.83
685-09-2820,Mydeo,Argentina,2005,Comunicaciones,292,$6747.45,$1144.42
803-83-0735,Edgeify,Argentina,2004,Transporte,205,$16040.79,$3010.20
545-75-0299,Voonte,Colombia,2007,Construccion,58,$11469.37,$2144.37
345-21-7105,Eayo,Argentina,2003,Finanzas,220,$15490.83,$1283.01
547-04-9135,Dabshots,Argentina,2001,Construccion,157,$19053.72,$2444.56
392-74-1707,Tanoodle,Argentina,2010,Tecnologia,133,$7621.73,$3089.73
185-82-6627,Yakidoo,Chile,2011,Otros,192,$15214.02,$2333.02
621-65-5443,Linkbuzz,Bolivia,2008,Otros,99,$5902.93,$1788.70
555-10-1731,Twitterbeat,Argentina,2003,Tecnologia,249,$6958.64,$3697.97
157-58-7034,Einti,Argentina,2010,Transporte,171,$14924.68,$2397.43
331-61-0360,Trupe,Colombia,2003,Comercio,57,$13055.74,$1273.30
403-74-0634,Wordware,Colombia,2011,Entretenimiento,110,$15600.03,$1513.60
,Yakidoo,,2003,Comercio,52,$19014.45,$1257.95
864-22-1220,Dynabox,Argentina,2006,Energia,289,$5434.39,$3734.64
199-71-5907,Skinder,Argentina,2001,Comunicaciones,283,$19898.80,$2797.85
796-62-1462,Youtags,Colombia,2007,Finanzas,78,$6909.18,$2177.15
311-65-5468,Babblestorm,Argentina,2002,Otros,86,$9235.86,$1916.14
130-44-9244,Tazz,Argentina,2007,Energia,93,$12025.34,$1691.92
723-96-3126,Quinu,Colombia,2001,Comunicaciones,105,$10043.69,$2644.55
,Digitube,,2003,Construccion,148,$17666.58,$3590.78
,Npath,,2013,Otros,90,$11269.69,$3790.40
619-97-9282,Tazzy,Colombia,2011,Energia,69,$18144.00,$1845.54
548-85-8237,Edgeclub,Argentina,2015,Transporte,197,$18803.14,$2648.04
532-06-6380,Devshare,Argentina,2014,Otros,60,$5681.60,$1183.00
537-14-8963,Zoovu,Argentina,2008,Finanzas,203,$15644.18,$2809.34
290-82-8770,Bubblebox,Colombia,2015,Entretenimiento,300,$16290.98,$2959.16
400-70-0705,Meedoo,Uruguay,2007,Medicina,173,$16965.88,$3465.45
322-24-1615,Topicstorm,Argentina,2013,Finanzas,283,$16833.94,$2620.19
631-23-2305,Mydeo,Argentina,2005,Entretenimiento,91,$8447.45,$3563.67
449-85-4192,Devbug,Colombia,2001,Transporte,111,$6093.49,$1890.65
625-29-9520,Kazu,Colombia,2001,Tecnologia,67,$5293.37,$1433.83
188-16-5846,Aivee,Colombia,2001,Tecnologia,143,$6711.89,$1628.89
725-62-1344,Lazzy,Argentina,2004,Medicina,286,$16989.29,$3461.71
505-06-2049,Brightdog,Colombia,2014,Tecnologia,288,$13596.94,$2866.01
716-78-8264,Jabberbean,Bolivia,2005,Medicina,177,$17412.70,$2423.41
865-31-3862,Skyble,Argentina,2011,Tecnologia,212,$7278.81,$1456.48
109-53-4197,Devify,Argentina,2011,Medicina,160,$9257.77,$3859.22
301-89-8403,Teklist,Argentina,2001,Otros,300,$10582.15,$1873.54
357-85-4843,Eamia,Colombia,2013,Medicina,197,$14486.43,$2588.26
,Edgeify,,2013,Energia,26,$7867.54,$3758.26
274-87-5369,Agivu,Argentina,2006,Tecnologia,292,$17736.02,$1802.88
,Yabox,,2011,Medicina,131,$10532.94,$3745.68
613-73-8375,Feedfire,Uruguay,2002,Comunicaciones,296,$7851.80,$3064.30
466-93-9057,InnoZ,Argentina,2005,Energia,298,$8638.19,$3136.33
844-71-1864,Dynabox,Argentina,2004,Medicina,266,$19592.98,$2956.48
822-38-9455,,Argentina,2007,Entretenimiento,193,$12239.97,$2388.83
887-84-9063,Skinix,Colombia,2015,Otros,70,$10710.23,$3038.60
169-46-0471,Topiczoom,Colombia,2006,Transporte,140,$7743.05,$1727.06
839-05-6640,Zoomzone,Chile,2001,Tecnologia,166,$8796.65,$1863.98
619-14-8344,Centimia,Chile,2005,Transporte,204,$5251.53,$3666.64
613-65-1268,Yakijo,Colombia,2012,Medicina,289,$5833.50,$3659.41
473-76-9796,Buzzshare,Colombia,2013,Construccion,220,$10447.89,$1665.00
216-44-7259,Kazio,Colombia,2014,Construccion,227,$18080.14,$3815.22
581-37-3025,Skimia,Colombia,2007,Entretenimiento,27,$18871.14,$3196.24
377-74-9140,Skalith,Argentina,2014,Comercio,57,$5787.44,$3002.39
877-06-8291,Photobug,Argentina,2015,Medicina,159,$6125.91,$2631.45
640-14-9129,Jazzy,Argentina,2015,Construccion,217,$12515.93,$3159.98
887-09-0724,Feedmix,Argentina,2011,Otros,39,$5571.93,$2108.21
850-29-6681,Plambee,Colombia,2010,Entretenimiento,203,$13177.45,$3839.49
377-52-0725,Yoveo,Argentina,2013,Comunicaciones,112,$19602.87,$2241.36
246-57-8832,Voolia,Argentina,2013,Entretenimiento,283,$6337.46,$1052.68
504-37-0663,Gigaclub,Argentina,2011,Otros,17,$13747.41,$2060.04
418-85-6890,Quire,Bolivia,2013,Comunicaciones,101,$19520.77,$2202.80
,Dablist,,2002,Construccion,45,$13833.74,$1125.52
536-81-3924,Vinder,Colombia,2013,Comunicaciones,75,$11154.79,$2326.03
701-92-4121,Avavee,Colombia,2007,Transporte,292,$14101.94,$2695.84
298-46-0644,Trilia,Colombia,2015,Finanzas,109,$8371.64,$3738.05
298-69-3800,Teklist,Argentina,2002,Transporte,120,$9308.07,$2891.53
282-97-1736,Lajo,Argentina,2012,Otros,29,$19330.72,$2344.51
706-56-1160,Pixonyx,Colombia,2007,Finanzas,84,$11033.20,$3359.87
387-49-9871,Jayo,Colombia,2008,Finanzas,182,$11062.44,$1027.58
,Shuffledrive,,2009,Construccion,132,$15714.39,$2506.68
849-62-7832,Ooba,Argentina,2010,Construccion,225,$11006.14,$1122.31
524-72-0893,Dabvine,Argentina,2014,Construccion,61,$9219.16,$3568.98
707-75-7033,Skinder,Argentina,2011,Energia,22,$7157.44,$3336.66
553-74-1007,Livepath,Colombia,2014,Tecnologia,82,$7335.93,$1181.30
720-39-3970,Skalith,Argentina,2005,Comunicaciones,204,$13720.18,$1876.11
,Avavee,,2005,Tecnologia,60,$6271.01,$1765.63
125-79-4564,Leenti,Colombia,2001,Tecnologia,133,$13155.27,$1789.35
486-62-1713,Gigaclub,Bolivia,2013,Finanzas,108,$16843.61,$3975.37
,Wikivu,,2014,Tecnologia,26,$8169.51,$2392.79
694-65-4364,Quamba,Argentina,2004,Comercio,83,$12266.01,$3282.78
878-35-8968,Jaxworks,Argentina,2011,Finanzas,134,$15485.18,$3165.49
240-40-4344,Skimia,Bolivia,2003,Finanzas,83,$5273.90,$1543.13
155-40-9260,Fliptune,Argentina,2004,Energia,234,$5534.29,$2442.08
500-14-3143,Trilith,Colombia,2012,Construccion,111,$12174.28,$3875.86
311-70-2032,Riffpedia,Colombia,2010,Comunicaciones,170,$9779.86,$2499.84
234-79-6387,Midel,Colombia,2012,Comunicaciones,285,$11213.49,$2323.18
734-64-0194,Reallinks,Bolivia,2009,Medicina,193,$13070.97,$3639.92
255-11-5008,Tambee,Argentina,2007,Finanzas,144,$10293.15,$1340.99
503-74-1236,Abata,Argentina,2004,Transporte,183,$13659.42,$1576.07
749-51-9669,Gabtune,Argentina,2004,Otros,159,$12357.02,$2417.74
275-20-1090,Feedfire,Argentina,2013,Energia,279,$19670.89,$2212.09
693-72-0622,Lazzy,Argentina,2010,Comunicaciones,260,$11534.36,$3715.37
648-32-6214,Babbleset,Chile,2004,Entretenimiento,69,$12771.27,$2016.40
343-02-0743,Cogilith,Argentina,2008,Medicina,78,$16203.93,$1081.15
677-70-2254,Skyble,Colombia,2006,Transporte,229,$10023.14,$3072.78
450-07-3876,Ntag,Argentina,2007,Transporte,127,$16671.13,$3761.76
281-92-5186,Mynte,Colombia,2004,Entretenimiento,196,$13219.90,$1823.96
828-46-0286,Kanoodle,Colombia,2002,Finanzas,263,$8387.40,$2604.22
153-51-7724,Browsecat,Colombia,2001,Comunicaciones,31,$12127.98,$1670.16
573-16-9506,Skidoo,Colombia,2009,Comunicaciones,241,$15661.40,$3516.86
852-20-8946,Riffwire,Argentina,2009,Finanzas,248,$17832.81,$3055.23
286-63-8762,Rhynyx,Colombia,2007,Comercio,257,$18475.06,$3512.42
665-64-3330,Voonte,Chile,2001,Transporte,87,$19612.13,$1698.25
279-76-9875,DabZ,Colombia,2001,,144,$7676.40,$1496.78
229-97-5217,Meemm,Colombia,2010,Comercio,78,$8674.69,$2226.59
225-27-2883,Skidoo,Argentina,2003,Finanzas,169,$7404.25,$1833.99
207-36-7605,Youtags,Colombia,2014,Entretenimiento,71,$17788.32,$1641.65
780-52-8124,Browseblab,Uruguay,2001,Transporte,100,$5408.90,$3414.43
255-03-3244,Miboo,Colombia,2010,,31,$6883.10,$2296.08
748-93-8620,Yakitri,Argentina,2008,Medicina,18,$18344.92,$3441.36
127-51-6125,Jetwire,Argentina,2009,Finanzas,264,$15513.94,$2015.83
670-12-5217,,Bolivia,2015,Comunicaciones,283,$19362.43,$3691.72
780-97-0694,Yacero,Colombia,2012,Energia,142,$9766.05,$2939.48
113-51-4851,Voonyx,Argentina,2013,Medicina,283,$19488.61,$3733.72
362-56-6743,Babbleopia,Colombia,2010,Construccion,105,$18595.21,$1187.11
175-95-1126,Rhyzio,Argentina,2005,Transporte,211,$13323.53,$3116.75
638-27-8505,Yambee,Colombia,2003,Finanzas,194,$13940.26,$1884.84
128-64-8730,Photospace,Colombia,2014,Construccion,123,$6401.61,$2941.91
671-24-3697,Topicstorm,Colombia,2010,Finanzas,68,$11454.54,$1360.08
331-08-6906,Zoonder,Colombia,2009,Construccion,83,$15043.19,$2856.27
339-43-6885,Topicware,Chile,2012,Medicina,127,$10021.87,$1935.16
731-24-5283,Digitube,Argentina,2015,Medicina,266,$10322.09,$2787.61
687-28-6233,Abatz,Colombia,2005,,160,$11716.85,$3251.57
684-09-0993,JumpXS,Argentina,2014,Otros,283,$9206.54,$2635.24
484-06-5119,Einti,Argentina,2015,Medicina,152,$15240.17,$3694.77
605-95-2344,Mydo,Colombia,2009,Entretenimiento,154,$10693.04,$2752.18
,Oozz,,2011,Transporte,82,$7728.70,$3855.25
897-49-4691,Shufflebeat,Uruguay,2012,Finanzas,44,$5058.93,$2690.62
525-08-8182,Realblab,Colombia,2009,Otros,197,$12647.38,$2807.89
225-59-0530,Meedoo,Argentina,2011,Tecnologia,192,$17180.05,$2666.97
736-64-2563,Rhybox,Bolivia,2001,Comercio,279,$7794.07,$2785.21
670-22-0354,Bubblemix,Chile,2006,Transporte,141,$14727.64,$1382.06
402-58-2035,Livetube,Colombia,2013,Comercio,103,$12180.23,$3340.88
510-27-0642,Yambee,Argentina,2013,Entretenimiento,139,$11421.73,$3987.29
325-04-3090,Gigaclub,Colombia,2009,Construccion,177,$15508.03,$3643.97
653-92-8142,Centimia,Colombia,2010,Energia,275,$7896.16,$1612.06
692-53-9607,Skipstorm,Argentina,2008,Comercio,263,$15080.86,$2686.84
877-56-0949,Fadeo,Colombia,2014,Otros,40,$16775.22,$2798.83
776-78-4792,Plambee,Argentina,2013,Comunicaciones,286,$7826.96,$1278.33
868-56-1595,Photospace,Argentina,2005,Construccion,103,$7667.18,$3487.19
